Service Area,Zip,Stark
All,69121,
All,69345,
All,69157,
All,68833,
All,69346,
All,69301,
All,69023,
All,69027,
All,69033,
All,69045,
All,69135,
All,69201,
All,69211,
All,69212,
All,69216,
All,69218,
All,69219,
All,69220,
All,69221,
All,69333,
All,69343,
All,69350,
All,69152,
All,69161,
All,69166,
All,69366,
All,69131,
All,69141,
All,69149,
All,69156,
All,69160,
All,69162,
All,69120,
All,69337,
All,69339,
All,69354,
All,69367,
All,69122,
All,69129,
All,69147,
All,69148,
All,69154,
All,69190,
All,69127,
All,69144,
All,69146,
All,69153,
All,69155,
All,69128,
All,69133,
All,69145,
All,82001,
All,82002,
All,82003,
All,82005,
All,82006,
All,82007,
All,82061,
All,82009,
All,82010,
All,82082,
All,82050,
All,82081,
All,82059,
All,82054,
All,69101,
All,69103,
All,69123,
All,69132,
All,69143,
All,69151,
All,69165,
All,69169,
All,69170,
All,69163,
All,69167,
All,69125,
All,69331,
All,69334,
All,69336,
All,80610,
All,80611,
All,80612,
All,80622,
All,80648,
All,80721,
All,80722,
All,80726,
All,80728,
All,80729,
All,80731,
All,80732,
All,80733,
All,80734,
All,80736,
All,80737,
All,80741,
All,80742,
All,80744,
All,80745,
All,80746,
All,80747,
All,80749,
All,80750,
All,80751,
All,80754,
All,82212,
All,82217,
All,82218,
All,82219,
All,82221,
All,82223,
All,82240,
All,82243,
All,82244,
All,82222,
All,82225,
All,82227,
All,82242,
All,57735,
All,57747,
All,57763,
All,57766,
All,57782,
All,57722,
All,57730,
All,57738,
All,57744,
All,57773,
All,57701,
All,57702,
All,57703,
All,57709,
All,57719,
All,57725,
All,57745,
All,57751,
All,57761,
All,57767,
All,57775,
All,57780,
All,57790,
All,57791,
All,57716,
All,57752,
All,57756,
All,57764,
All,57770,
All,57772,
All,57794,
All,57714,
All,57551,
All,57574,
All,57567,
All,57552,
All,57543,
All,57750,
All,57577,
All,57547,
All,57521,
All,57562,
All,57559,
All,57576,
All,57568,
All,57544,
All,57579,
All,57585,
All,57560,
All,57532,
All,57572,
All,57570,
All,57563,
All,57555,
All,57531,
All,57566,
All,57541,
All,57584,
All,57580,
All,69134,
All,69140,
All,69150,
All,69168,
All,82201,
All,82210,
All,82213,
All,82214,
All,82215,
All,69348,
All,69341,
All,69352,
All,69353,
All,69355,
All,69356,
All,69357,
All,69358,
All,69361,
All,69363,
All,69335,
All,69340,
All,69347,
All,69351,
All,69360,
All,69365,
All,82053,
All,69142,
Central Region ,69361,
Central Region ,69341,
Central Region ,69301,
Central Region ,82240,
Central Region ,69336,
Central Region ,69162,
Central Region ,69357,
Central Region ,69145,
Central Region ,69334,
Central Region ,69358,
Central Region ,69356,
Central Region ,69343,
Central Region ,69154,
Central Region ,69348,
Central Region ,69337,
Central Region ,69131,
Central Region ,69363,
Central Region ,69347,
Central Region ,57770,
Central Region ,69360,
Central Region ,69129,
Central Region ,82225,
Central Region ,69147,
Central Region ,69339,
Central Region ,69365,
